CustomerID,Days_Since_Last_Purchase,Total_Transactions,Total_Products_Purchased,Total_Spend,Average_Transaction_Value,Unique_Products_Purchased,Average_Days_Between_Purchases,Day_Of_Week,Hour,Country,Monthly_Spending_Mean,Monthly_Spending_Std,Spending_Trend,cluster
10005.0,250,2,63,2527.15,1263.575,2,306.0,1,1,4,1263.575,669.1705023758892,946.35,1
10010.0,693,2,62,3386.2799999999997,1693.1399999999999,2,1341.0,0,6,1,1693.1399999999999,2008.381248468527,2840.2799999999997,2
10020.0,1295,2,46,2128.83,1064.415,2,158.0,0,6,0,1064.415,580.8811496769368,-821.49,1
10023.0,833,2,49,2959.7,1479.85,2,306.0,4,7,2,1479.85,929.8029908534386,-1314.9399999999996,2
10045.0,392,2,71,3340.46,1670.23,2,576.0,2,11,0,1670.23,1251.9325560907823,-1770.5,2
10058.0,1095,2,47,2002.5,1001.25,2,395.0,1,0,0,1001.25,580.9447892872437,-821.5799999999999,1
10063.0,1083,3,76,3416.4,1138.8,3,79.5,1,8,2,1138.8,1230.2039505707987,-1023.8,0
10067.0,464,2,49,2899.38,1449.69,2,462.0,2,15,0,1449.69,1389.0264188272304,-1964.38,2
10109.0,778,2,71,1411.33,705.665,2,969.0,0,0,2,705.665,561.2518654311983,-793.73,1
10120.0,254,2,39,2685.8,1342.9,2,1123.0,2,13,0,1342.9,1476.6652332874908,-2088.3199999999997,2
10126.0,42,3,29,1342.29,447.43,3,890.0,4,7,4,447.43,266.5270599770312,-259.75,0
10131.0,263,2,59,2729.2200000000003,1364.6100000000001,2,893.0,0,4,0,1364.6100000000001,1529.3164042146414,2162.7799999999997,2
10153.0,1086,2,20,583.24,291.62,2,85.0,2,4,0,291.62,170.11574941785963,-240.58000000000004,1
10165.0,331,2,76,6668.15,3334.075,2,642.0,2,6,3,3334.075,1545.8414896909708,2186.1499999999996,2
10166.0,995,2,39,2043.75,1021.875,2,785.0,2,9,0,1021.875,1318.704649438228,-1864.9299999999998,1
10169.0,828,2,34,895.4399999999999,447.71999999999997,2,1209.0,2,8,0,447.71999999999997,455.6596097966112,644.4,1
10170.0,1578,2,67,2246.4399999999996,1123.2199999999998,2,414.0,0,9,3,1123.2199999999998,1325.9383518097663,1875.1599999999999,1
10174.0,576,3,36,1654.16,551.3866666666667,3,298.0,1,8,2,551.3866666666667,512.1299605894321,-290.4,0
10197.0,33,2,50,3629.7799999999997,1814.8899999999999,2,254.0,4,2,2,1814.8899999999999,2436.6475415619716,-3445.9399999999996,2
10212.0,125,3,61,2839.9800000000005,946.6600000000002,3,766.5,5,8,2,946.6600000000002,1501.3729232938765,1308.06,0
10216.0,1176,3,51,1411.33,470.4433333333333,3,424.5,2,7,3,470.4433333333333,350.48107742549143,-154.8,0
10221.0,1453,2,21,292.95,146.475,2,496.0,0,15,0,146.475,114.68564884064614,162.19,1
10230.0,632,2,40,1131.1,565.55,2,168.0,2,1,3,565.55,679.4306217709061,960.86,1
10252.0,53,2,66,1185.78,592.89,2,222.0,0,2,1,592.89,159.08488363134947,-224.98000000000002,1
10257.0,750,3,93,6427.34,2142.4466666666667,3,482.0,2,1,4,2142.4466666666667,1095.414503160029,70.58999999999992,0
10269.0,680,2,56,4251.18,2125.59,2,213.0,0,9,4,2125.59,1761.1060070875917,-2490.58,2
10278.0,183,2,68,5304.91,2652.455,2,1819.0,3,5,0,2652.455,297.7980208967142,421.14999999999964,2
10304.0,718,3,83,5347.66,1782.5533333333333,3,527.5,2,11,0,1782.5533333333333,1976.622145209684,1949.6199999999997,0
10315.0,395,2,43,1233.22,616.61,2,252.0,1,12,0,616.61,852.3889404491356,1205.46,1
10340.0,103,2,10,618.0500000000001,309.02500000000003,2,12.0,1,2,0,618.0500000000001,0.0,0.0,1
10344.0,171,2,64,2587.4399999999996,1293.7199999999998,2,109.0,1,11,0,1293.7199999999998,1098.730800878905,1553.84,2
